Kecamatan;URL; Price ;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Sertifikat;Daya Listrik;Ruang Makan;Ruang Tamu;Kondisi Perabotan;Jumlah Lantai;Hadap;Terjangkau Internet;Lebar Jalan;Sumber Air;Hook;Kondisi Properti;ID Iklan
sambikerep;https://www.rumah123.com/properti/surabaya/hos14613572/; 2.400.000.000 ;3;2;108;125;HGB - Hak Guna Bangunan;2200;;;Unfurnished;2;;;;;;Bagus Sekali;hos14613572
sambikerep;https://www.rumah123.com/properti/surabaya/hos14613592/; 2.400.000.000 ;3;3;108;125;Lainnya (PPJB,Girik,Adat,dll);2200;;;Unfurnished;2;;;;;;Baru;hos14613592
sambikerep;https://www.rumah123.com/properti/surabaya/hos14613580/; 2.400.000.000 ;3;2;108;125;HGB - Hak Guna Bangunan;2200;;;Unfurnished;2;;;;;;Baru;hos14613580
sambikerep;https://www.rumah123.com/properti/surabaya/hos14210596/; 2.400.000.000 ;3;2;108;125;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru;hos14210596
sambikerep;https://www.rumah123.com/properti/surabaya/hos13825999/; 2.400.000.000 ;3;2;108;125;HGB - Hak Guna Bangunan;2200;;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus Sekali;hos13825999
sambikerep;https://www.rumah123.com/properti/surabaya/hos12423483/; 2.400.000.000 ;3;2;108;125;HGB - Hak Guna Bangunan;2200;;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru;hos12423483
sambikerep;https://www.rumah123.com/properti/surabaya/hos12423496/; 2.400.000.000 ;3;2;108;125;HGB - Hak Guna Bangunan;2200;;;Unfurnished;2;;;;;;Bagus Sekali;hos12423496
sambikerep;https://www.rumah123.com/properti/surabaya/hos12307265/; 2.400.000.000 ;3;2;108;125;HGB - Hak Guna Bangunan;2200;;;Unfurnished;2;;;;;;Bagus Sekali;hos12307265
sambikerep;https://www.rumah123.com/properti/surabaya/hos12307252/; 2.400.000.000 ;3;2;108;125;HGB - Hak Guna Bangunan;2200;;;Unfurnished;2;;;;;;Baru;hos12307252
sambikerep;https://www.rumah123.com/properti/surabaya/hos11770205/; 2.400.000.000 ;3;2;108;125;HGB - Hak Guna Bangunan;2200;;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos11770205
sambikerep;https://www.rumah123.com/properti/surabaya/hos11088126/; 2.400.000.000 ;3;2;108;125;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus Sekali;hos11088126
sambikerep;https://www.rumah123.com/properti/surabaya/hos9753725/; 2.400.000.000 ;3;3;108;125;Lainnya (PPJB,Girik,Adat,dll);2200;;Tidak;Unfurnished;2;Utara;Tidak;;;Tidak;Baru;hos9753725
sambikerep;https://www.rumah123.com/properti/surabaya/hos8717495/; 2.400.000.000 ;3;3;108;100;Lainnya (PPJB,Girik,Adat,dll);3500;;;Unfurnished;1;Selatan;;;;;Bagus;hos8717495
wiyung;https://www.rumah123.com/properti/surabaya/hos14444065/; 2.400.000.000 ;3;3;112;189;SHM - Sertifikat Hak Milik;3500;Tidak;Tidak;Unfurnished;2;Barat;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14444065
gubeng;https://www.rumah123.com/properti/surabaya/hos12735965/; 2.400.000.000 ;3;3;114;184;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Tidak;;PAM atau PDAM;Tidak;Bagus;hos12735965
gubeng;https://www.rumah123.com/properti/surabaya/hos11815882/; 2.400.000.000 ;4;3;120;180;SHM - Sertifikat Hak Milik;3300;;Ya;Unfurnished;2;Utara;Tidak;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos11815882
sukolilo;https://www.rumah123.com/properti/surabaya/hos14222667/; 2.400.000.000 ;5;4;120;190;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14222667
wiyung;https://www.rumah123.com/properti/surabaya/hos15083890/; 2.400.000.000 ;4;4;120;124;HGB - Hak Guna Bangunan;4400;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos15083890
wiyung;https://www.rumah123.com/properti/surabaya/hos13970511/; 2.400.000.000 ;2;1;120;95;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;1;Utara;Tidak;;;Tidak;Bagus;hos13970511
wiyung;https://www.rumah123.com/properti/surabaya/hos13805431/; 2.400.000.000 ;4;2;120;200;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos13805431
tenggilis mejoyo;https://www.rumah123.com/properti/surabaya/hos15110759/; 2.400.000.000 ;4;3;122;184;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Baru;hos15110759
gubeng;https://www.rumah123.com/properti/surabaya/hos14198332/; 2.400.000.000 ;4;3;123;180;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;1;Utara;Tidak;;;Tidak;Bagus;hos14198332
jambangan;https://www.rumah123.com/properti/surabaya/hos13979744/; 2.400.000.000 ;4;3;126;162;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos13979744
rungkut;https://www.rumah123.com/properti/surabaya/hos15206993/; 2.400.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru;hos15206993
rungkut;https://www.rumah123.com/properti/surabaya/hos15080560/; 2.400.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus;hos15080560
rungkut;https://www.rumah123.com/properti/surabaya/hos14809086/; 2.400.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;3 Mobil;;Tidak;Baru;hos14809086
tandes;https://www.rumah123.com/properti/surabaya/hos13333215/; 2.400.000.000 ;3;2;128;138;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos13333215
wiyung;https://www.rumah123.com/properti/surabaya/hos14562740/; 2.400.000.000 ;3;3;128;155;SHM - Sertifikat Hak Milik;3300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14562740
tenggilis mejoyo;https://www.rumah123.com/properti/surabaya/hos12541485/; 2.400.000.000 ;4;4;130;200;SHM - Sertifikat Hak Milik;3300;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Ya;Bagus;hos12541485
benowo;https://www.rumah123.com/properti/surabaya/hos10527206/; 2.400.000.000 ;4;3;135;140;HGB - Hak Guna Bangunan;3500;;Tidak;Unfurnished;1;Selatan;Tidak;;;Tidak;Bagus;hos10527206
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos14683958/; 2.400.000.000 ;3;3;135;250;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;2;;Ya;;PAM atau PDAM;Tidak;Bagus;hos14683958
lakarsantri;https://www.rumah123.com/properti/surabaya/hos13836919/; 2.400.000.000 ;3;2;135;78;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos13836919
rungkut;https://www.rumah123.com/properti/surabaya/hos14797349/; 2.400.000.000 ;4;3;135;170;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Sudah Renovasi;hos14797349
sambikerep;https://www.rumah123.com/properti/surabaya/hos14409020/; 2.400.000.000 ;4;3;144;130;SHM - Sertifikat Hak Milik;5500;Tidak;Tidak;Unfurnished;2;Utara;Tidak;3 Mobil;PAM atau PDAM;Tidak;Baru;hos14409020
sambikerep;https://www.rumah123.com/properti/surabaya/hos14307490/; 2.400.000.000 ;3;2;144;130;SHM - Sertifikat Hak Milik;3300;;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos14307490
sukomanunggal;https://www.rumah123.com/properti/surabaya/hos14007065/; 2.400.000.000 ;5;1;150;150;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus;hos14007065
pakal;https://www.rumah123.com/properti/surabaya/hos14382000/; 2.400.000.000 ;4;4;154;170;Lainnya (PPJB,Girik,Adat,dll);2200;;Tidak;Unfurnished;2;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14382000
pakal;https://www.rumah123.com/properti/surabaya/hos10591729/; 2.400.000.000 ;4;4;154;170;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;2;Selatan;;;;;Bagus Sekali;hos10591729
kenjeran;https://www.rumah123.com/properti/surabaya/hos14789611/; 2.400.000.000 ;4;3;160;200;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos14789611
tambaksari;https://www.rumah123.com/properti/surabaya/hos15020459/; 2.400.000.000 ;5;4;160;230;SHM - Sertifikat Hak Milik;3500;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos15020459
tambaksari;https://www.rumah123.com/properti/surabaya/hos14794853/; 2.400.000.000 ;4;4;160;228;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;2;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Sudah Renovasi;hos14794853
tambaksari;https://www.rumah123.com/properti/surabaya/hos14757063/; 2.400.000.000 ;5;4;160;155;SHM - Sertifikat Hak Milik;3500;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos14757063
tambaksari;https://www.rumah123.com/properti/surabaya/hos14757005/; 2.400.000.000 ;5;4;160;155;SHM - Sertifikat Hak Milik;3500;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos14757005
sambikerep;https://www.rumah123.com/properti/surabaya/hos15344657/; 2.400.000.000 ;5;2;162;108;HGB - Hak Guna Bangunan;;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos15344657
sambikerep;https://www.rumah123.com/properti/surabaya/hos15323836/; 2.400.000.000 ;5;2;162;108;HGB - Hak Guna Bangunan;3500;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus;hos15323836
sambikerep;https://www.rumah123.com/properti/surabaya/hos12351034/; 2.400.000.000 ;3;2;162;115;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;4 Mobil;PAM atau PDAM;Tidak;Bagus;hos12351034
wiyung;https://www.rumah123.com/properti/surabaya/hos14276750/; 2.400.000.000 ;4;3;162;220;HGB - Hak Guna Bangunan;1300;;;Unfurnished;2;;;;;;Bagus Sekali;hos14276750
gayungan;https://www.rumah123.com/properti/surabaya/hos10898932/; 2.400.000.000 ;5;2;167;167;SHM - Sertifikat Hak Milik;1300;;;Unfurnished;1;;;;;;Bagus Sekali;hos10898932
sukolilo;https://www.rumah123.com/properti/surabaya/hos14660847/; 2.400.000.000 ;3;2;171;171;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;Timur;Tidak;2 Mobil;PAM atau PDAM;Tidak;;hos14660847
wiyung;https://www.rumah123.com/properti/surabaya/hos14239927/; 2.400.000.000 ;4;3;175;235;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14239927
wiyung;https://www.rumah123.com/properti/surabaya/hos5720650/; 2.400.000.000 ;3;2;179;160;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus Sekali;hos5720650
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos9949212/; 2.400.000.000 ;3;2;180;180;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;1;Barat;;;;;Butuh Renovasi;hos9949212
wiyung;https://www.rumah123.com/properti/surabaya/hos12672995/; 2.400.000.000 ;2;2;180;150;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos12672995
wiyung;https://www.rumah123.com/properti/surabaya/hos15429182/; 2.400.000.000 ;3;3;189;125;SHM - Sertifikat Hak Milik;4400;Tidak;Tidak;Unfurnished;2;Timur;Tidak;;;Tidak;Bagus;hos15429182
wiyung;https://www.rumah123.com/properti/surabaya/hos11148064/; 2.400.000.000 ;5;3;192;300;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos11148064
wiyung;https://www.rumah123.com/properti/surabaya/hos10451095/; 2.400.000.000 ;3;3;195;195;SHM - Sertifikat Hak Milik;900;;;Unfurnished;1;;;;;;Bagus;hos10451095
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos15021253/; 2.400.000.000 ;2;1;200;140;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;Timur;Tidak;2 Mobil;;Tidak;Butuh Renovasi;hos15021253
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos14632671/; 2.400.000.000 ;2;1;200;140;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;1;Timur;Tidak;2 Mobil;;Tidak;Butuh Renovasi;hos14632671
gubeng;https://www.rumah123.com/properti/surabaya/hos13072859/; 2.400.000.000 ;4;3;200;180;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos13072859
rungkut;https://www.rumah123.com/properti/surabaya/hos15137776/; 2.400.000.000 ;4;2;200;150;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos15137776
tambaksari;https://www.rumah123.com/properti/surabaya/hos11119689/; 2.400.000.000 ;3;3;200;180;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;1;Selatan;;;;;Bagus Sekali;hos11119689
tenggilis mejoyo;https://www.rumah123.com/properti/surabaya/hos15345756/; 2.400.000.000 ;4;2;200;150;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos15345756
tenggilis mejoyo;https://www.rumah123.com/properti/surabaya/hos15136819/; 2.400.000.000 ;4;2;200;200;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;2 Mobil;PAM atau PDAM;Tidak;;hos15136819
tenggilis mejoyo;https://www.rumah123.com/properti/surabaya/hos11955420/; 2.400.000.000 ;5;3;200;150;SHM - Sertifikat Hak Milik;4400;Tidak;Tidak;Unfurnished;2;Utara;Tidak;;;Tidak;Bagus;hos11955420
sukomanunggal;https://www.rumah123.com/properti/surabaya/hos14008637/; 2.400.000.000 ;3;2;202;165;SHM - Sertifikat Hak Milik;3500;;Tidak;Unfurnished;1;Barat Laut;Tidak;;;Tidak;Bagus;hos14008637
jambangan;https://www.rumah123.com/properti/surabaya/hos14867250/; 2.400.000.000 ;3;2;240;150;HGB - Hak Guna Bangunan;1300;Tidak;Tidak;Unfurnished;1;Barat Laut;Tidak;2 Mobil;PAM atau PDAM;Ya;;hos14867250
sambikerep;https://www.rumah123.com/properti/surabaya/hos12349864/; 2.400.000.000 ;5;3;256;245;SHM - Sertifikat Hak Milik;3300;Ya;Ya;Unfurnished;2;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos12349864
wiyung;https://www.rumah123.com/properti/surabaya/hos15470705/; 2.400.000.000 ;3;2;267;170;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos15470705
wiyung;https://www.rumah123.com/properti/surabaya/hos15151568/; 2.400.000.000 ;4;3;267;175;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;3 Mobil;PAM atau PDAM;Ya;Bagus;hos15151568
wiyung;https://www.rumah123.com/properti/surabaya/hos14670608/; 2.400.000.000 ;3;3;267;200;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Ya;Bagus;hos14670608
tenggilis mejoyo;https://www.rumah123.com/properti/surabaya/hos15076451/; 2.400.000.000 ;3;1;300;100;SHM - Sertifikat Hak Milik;3500;Ya;Ya;Unfurnished;1;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos15076451
wiyung;https://www.rumah123.com/properti/surabaya/hos12692198/; 2.400.000.000 ;4;4;375;600;HGB - Hak Guna Bangunan;6600;Ya;Ya;Unfurnished;1;Utara;Ya;4 Mobil;PAM atau PDAM;Tidak;Bagus;hos12692198
sukolilo;https://www.rumah123.com/properti/surabaya/hos13812655/; 2.520.000.000 ;4;4;135;190;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;2;Utara;Tidak;;PAM atau PDAM;Tidak;Bagus;hos13812655
sukolilo;https://www.rumah123.com/properti/surabaya/hos11893403/; 2.520.000.000 ;4;4;135;190;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;Utara;Tidak;;;Tidak;Bagus;hos11893403
sukolilo;https://www.rumah123.com/properti/surabaya/hos10787531/; 2.520.000.000 ;4;3;135;210;SHM - Sertifikat Hak Milik;;;;Unfurnished;2;Utara;;;;;Baru;hos10787531
wiyung;https://www.rumah123.com/properti/surabaya/hos14538373/; 2.540.000.000 ;3;3;105;138;HGB - Hak Guna Bangunan;2200;Ya;Ya;Unfurnished;2;;Tidak;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14538373
wiyung;https://www.rumah123.com/properti/surabaya/hos13815385/; 2.540.000.000 ;4;2;360;250;SHM - Sertifikat Hak Milik;4400;;Ya;Unfurnished;1;Utara;Ya;4 Mobil;PAM atau PDAM;Tidak;Bagus;hos13815385
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos15299438/; 2.550.000.000 ;4;4;69;180;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;3;;Tidak;;;Tidak;Baru;hos15299438
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos15113861/; 2.550.000.000 ;4;4;69;180;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;3;;Tidak;;;Tidak;Bagus;hos15113861
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos14917844/; 2.550.000.000 ;4;4;69;180;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;3;Selatan;Ya;2 Mobil;;Tidak;Baru;hos14917844
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos14914523/; 2.550.000.000 ;4;4;69;180;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Baru;hos14914523
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos14567058/; 2.550.000.000 ;4;4;69;180;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;3;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos14567058
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos14220550/; 2.550.000.000 ;4;4;69;180;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;3;Selatan;Ya;2 Mobil;;Tidak;Baru;hos14220550
sawahan;https://www.rumah123.com/properti/surabaya/hos15121490/; 2.550.000.000 ;4;4;69;180;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;3;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos15121490
sawahan;https://www.rumah123.com/properti/surabaya/hos14347413/; 2.550.000.000 ;4;4;69;180;SHM - Sertifikat Hak Milik;4400;Tidak;Tidak;Unfurnished;3;Selatan;Tidak;;PAM atau PDAM;Tidak;Baru;hos14347413
sawahan;https://www.rumah123.com/properti/surabaya/hos14347225/; 2.550.000.000 ;4;1;69;180;SHM - Sertifikat Hak Milik;4400;;Ya;Unfurnished;3;Selatan;Tidak;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14347225
sawahan;https://www.rumah123.com/properti/surabaya/hos14346860/; 2.550.000.000 ;4;4;69;180;SHM - Sertifikat Hak Milik;4400;;Tidak;Unfurnished;3;Selatan;Ya;2 Mobil;;Tidak;Baru;hos14346860
sawahan;https://www.rumah123.com/properti/surabaya/hos14320705/; 2.550.000.000 ;4;4;69;180;SHM - Sertifikat Hak Milik;4400;;Tidak;Unfurnished;3;Selatan;Tidak;3 Mobil;PAM atau PDAM;Tidak;Baru;hos14320705
sambikerep;https://www.rumah123.com/properti/surabaya/hos11466713/; 2.550.000.000 ;3;3;108;125;HGB - Hak Guna Bangunan;;Tidak;Tidak;Unfurnished;1;Utara;Tidak;3 Mobil;;Tidak;Baru;hos11466713
wiyung;https://www.rumah123.com/properti/surabaya/hos10588448/; 2.550.000.000 ;5;4;114;190;HGB - Hak Guna Bangunan;3500;Tidak;Tidak;Unfurnished;3;Utara;Tidak;;;Tidak;Baru;hos10588448
sukolilo;https://www.rumah123.com/properti/surabaya/hos15074348/; 2.550.000.000 ;4;4;120;180;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos15074348
sukolilo;https://www.rumah123.com/properti/surabaya/hos14976125/; 2.550.000.000 ;4;4;120;180;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus;hos14976125
wonocolo;https://www.rumah123.com/properti/surabaya/hos15257203/; 2.550.000.000 ;5;5;120;180;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru;hos15257203
wiyung;https://www.rumah123.com/properti/surabaya/hos15446387/; 2.550.000.000 ;4;3;126;210;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos15446387
wiyung;https://www.rumah123.com/properti/surabaya/hos15404337/; 2.550.000.000 ;4;3;126;210;SHM - Sertifikat Hak Milik;;Ya;Ya;Unfurnished;1;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos15404337
wiyung;https://www.rumah123.com/properti/surabaya/hos15396401/; 2.550.000.000 ;4;3;126;210;HGB - Hak Guna Bangunan;;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos15396401
rungkut;https://www.rumah123.com/properti/surabaya/hos15001767/; 2.550.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Baru;hos15001767
rungkut;https://www.rumah123.com/properti/surabaya/hos14828355/; 2.550.000.000 ;4;3;128;160;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus;hos14828355
rungkut;https://www.rumah123.com/properti/surabaya/hos14611157/; 2.550.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos14611157
rungkut;https://www.rumah123.com/properti/surabaya/hos14514553/; 2.550.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos14514553
rungkut;https://www.rumah123.com/properti/surabaya/hos14756211/; 2.550.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos14756211
rungkut;https://www.rumah123.com/properti/surabaya/hos14745815/; 2.550.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos14745815
rungkut;https://www.rumah123.com/properti/surabaya/hos14687725/; 2.550.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14687725
rungkut;https://www.rumah123.com/properti/surabaya/hos14501678/; 2.550.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos14501678
rungkut;https://www.rumah123.com/properti/surabaya/hos14501647/; 2.550.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14501647
rungkut;https://www.rumah123.com/properti/surabaya/hos14419599/; 2.550.000.000 ;4;3;128;176;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;2;;Tidak;3 Mobil;;Tidak;Baru;hos14419599
wiyung;https://www.rumah123.com/properti/surabaya/hos10327944/; 2.550.000.000 ;3;3;144;152;HGB - Hak Guna Bangunan;3500;;;Unfurnished;2;;;;;;Bagus;hos10327944
dukuh pakis;https://www.rumah123.com/properti/surabaya/hos11005061/; 2.550.000.000 ;4;4;150;200;SHM - Sertifikat Hak Milik;2200;;;Unfurnished;2;Selatan;;;;;Bagus;hos11005061
rungkut;https://www.rumah123.com/properti/surabaya/hos15194238/; 2.550.000.000 ;6;3;200;365;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Barat;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos15194238
mulyorejo;https://www.rumah123.com/properti/surabaya/hos15191307/; 2.550.000.000 ;3;3;207;152;HGB - Hak Guna Bangunan;4400;Tidak;Tidak;Unfurnished;1;Utara;Ya;;PAM atau PDAM;Tidak;Bagus;hos15191307
gayungan;https://www.rumah123.com/properti/surabaya/hos13798098/; 2.550.000.000 ;5;4;213;400;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Ya;Bagus;hos13798098
wiyung;https://www.rumah123.com/properti/surabaya/hos12685017/; 2.560.000.000 ;4;3;180;270;SHM - Sertifikat Hak Milik;3500;Ya;Ya;Unfurnished;1;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos12685017
tegalsari;https://www.rumah123.com/properti/surabaya/hos13993273/; 2.570.000.000 ;3;3;108;125;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;2;Utara;Ya;4 Mobil;PAM atau PDAM;Tidak;Baru;hos13993273
wonokromo;https://www.rumah123.com/properti/surabaya/hos15131669/; 2.570.000.000 ;3;1;108;125;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos15131669
wonokromo;https://www.rumah123.com/properti/surabaya/hos14895997/; 2.570.000.000 ;3;2;108;125;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14895997
